round,inertia,moved,count_0,count_1,count_2,count_3,count_4
0,22783.40185546875,48.12139892578125,657,2044,3229,8582,488
1,10751.822998046875,0.801954984664917,526,3287,1999,8582,606
2,9375.261352539062,0.6964871287345886,287,3287,1999,8582,845
3,9219.8017578125,0.0,287,3287,1999,8582,845
4,9219.8017578125,0.0,287,3287,1999,8582,845
5,9219.8017578125,0.0,287,3287,1999,8582,845
6,9219.8017578125,0.0,287,3287,1999,8582,845
7,9219.8017578125,0.0,287,3287,1999,8582,845
8,9219.8017578125,0.0,287,3287,1999,8582,845
9,9219.8017578125,0.0,287,3287,1999,8582,845
