cluster,primary_gene,count
0,SETX,136
0,ALS2,105
0,SIGMAR1,23
0,ERBB4,16
0,PLEKHG5,7
1,SOD1,1485
1,ALS2,413
1,SPG11,379
1,VCP,275
1,TARDBP,155
1,UBQLN2,119
1,DCTN1,71
1,TBK1,61
1,SPTLC1,58
1,OPTN,57
1,SIGMAR1,45
1,FIG4,42
1,SQSTM1,34
1,LOC124629354,23
1,CHMP2B,21
1,LOC108903148,17
1,NEK1,9
1,PRPH,9
1,LOC129995449,7
1,KIF5A,4
1,PARK7,3
2,TBK1,655
2,FUS,302
2,SQSTM1,246
2,OPTN,227
2,SLC52A3,104
2,NEK1,96
2,SOD1,73
2,LOC130001681,67
2,CHRNA3,46
2,LOC108903148,39
2,FIG4,37
2,DCTN1,22
2,C9orf72,21
2,LOC124629354,18
2,KIF5A,12
2,ANXA11,11
2,LOC130056973,9
2,SYNE1,7
2,VCP,7
4,ALS2,217
4,OPTN,128
4,SETX,93
4,SPG11,69
4,ANG,41
4,SLC52A3,40
4,SIGMAR1,35
4,SQSTM1,32
4,HNRNPA1,32
4,TUBA4A,29
4,ERBB4,23
4,HNRNPA2B1,22
4,KIF5A,19
4,UNC13A,16
4,PLEKHG5,11
4,ERLIN1,10
4,LOC108903148,10
4,CHRNA3,8
4,SCAF4,6
4,LOC130003372,2
4,CHCHD10,2
